rows,w_epiplexity,w_price_change,w_srl_resid,w_topo_energy,mean_epiplexity,std_epiplexity,has_topo_energy
13669705,0.02025562147649224,-0.3516179753905731,-0.011828250690124569,0.007827779055460215,0.6209265862100675,0.9966773835304543,1
14269731,0.019126255650431793,-0.3499455037019573,-0.012381061731811124,0.009350849897490295,0.6012254930306488,1.02972657302325,1
14869735,0.01888443627838687,-0.34954516315012213,-0.01210885200617609,0.009426560799565302,0.5853248448680443,1.0549915171107505,1
15469750,0.017322214256313275,-0.35142782681597523,-0.012490409286423627,0.010525243594928938,0.569847415619819,1.0789841001538543,1
16069777,0.016203123859121336,-0.354133970383582,-0.01269326179838903,0.010917123495207093,0.5574793649596175,1.097501319411644,1
16669798,0.015151133791775802,-0.3581539028630686,-0.012960310286859678,0.010605972726694831,0.5498355550767597,1.1085824359164052,1
17269813,0.014985363423297053,-0.3614343740916599,-0.012855005812007207,0.010922923702532127,0.5423042111556109,1.1191648341222085,1
17869838,0.015563592049011154,-0.3642696816008254,-0.012576162010819814,0.012594752135268894,0.5313503285085268,1.134938380838136,1
18469852,0.01623259636435441,-0.3667444399848917,-0.012507548426578382,0.01251674383384343,0.5217222013813251,1.1484964478176276,1
19069871,0.01659720276981255,-0.3679622196614223,-0.013061297158221564,0.012462004794443832,0.5121880256924829,1.1614733457348374,1
19669891,0.01567565406104028,-0.3689831187520011,-0.012810140953345688,0.012256091989313442,0.5029320715808772,1.1742191417787042,1
20269906,0.015454279083499422,-0.3699074069102151,-0.012873013886438946,0.010945615281771168,0.4942387559681621,1.1860270391166199,1
20869925,0.01501366696286614,-0.3705603122493,-0.012653347074642243,0.011832191189413404,0.48510156604025767,1.1981132400659822,1
21469927,0.014377889077887411,-0.3704474585882833,-0.012757332070642044,0.01324699573624647,0.47489369886199934,1.2112865840691809,1
22069945,0.013789250124431711,-0.3702321884285555,-0.012590151277451766,0.014684803391546602,0.4660997859474173,1.2222911891565578,1
22669961,0.013354415904294797,-0.36996772924043386,-0.013074241865660467,0.015391509669119917,0.4567432158746387,1.2339015792224615,1
23269981,0.012904195388494438,-0.36971104427641893,-0.012809778323367558,0.01624330893128458,0.4471402419225225,1.245663475272654,1
23869994,0.012884411696798931,-0.36939283810898255,-0.013071853396491502,0.016381618461525804,0.437197094535493,1.2578888016771732,1
24470010,0.012710700248390895,-0.3690807907807801,-0.01329357631511956,0.01646174535317385,0.4278850402099376,1.2690879322335502,1
25070039,0.01231330459463009,-0.36937555595819593,-0.013288079241096767,0.016697641382129216,0.41822962565027544,1.2806486796701266,1
25670050,0.0114526626282274,-0.3702619431429157,-0.013299464637190124,0.017520034617504187,0.4086394028511213,1.2919436362803998,1
26270068,0.010927713913971255,-0.3709098547740954,-0.012646480788161281,0.017038033592999758,0.4005935426700951,1.3012756071609848,1
26870087,0.010992160857968388,-0.3717445699778228,-0.01295232144762489,0.017167764137812357,0.39242077414570664,1.310630361562969,1
27470095,0.011987931017690936,-0.37076250962144097,-0.013289623989197067,0.01661501270996024,0.39207495693317723,1.3107653512840147,1
28070109,0.01201697009554818,-0.367407420578308,-0.013515430834136201,0.017332580390015034,0.39003885602626437,1.312947116358997,1
28670134,0.012378621549578058,-0.36464178328546426,-0.013964317997461236,0.017495187326815178,0.38767887073321194,1.3156352849534694,1
29270148,0.012889217314051186,-0.3625521606140805,-0.013756805071490507,0.01771236493748909,0.3861714527469828,1.317352762839861,1
