file,p_up,signal,position,return,cost,pnl,cum_pnl,peak,dd
002519.csv,0.574519342972636,1.0,1.0,-0.03560395682926498,0.0014228095170821663,-0.03702676634634715,-0.15922165324277343,0.009614192916218149,-0.16883584615899158
002519.csv,0.5731043043021675,1.0,1.0,-0.031367147646044646,0.0006457587506418799,-0.032012906396686525,-0.19123455963945996,0.009614192916218149,-0.2008487525556781
002519.csv,0.5761208369183876,1.0,1.0,0.0017793708112725515,0.0022848690678553035,-0.0005054982565827521,-0.1917400578960427,0.009614192916218149,-0.20135425081226085
002519.csv,0.5586654183513934,1.0,0.8187307530779818,0.09132751673552852,0.0023140649365103686,0.07245858161711088,-0.11928147627893182,0.009614192916218149,-0.12889566919514997
002519.csv,0.6184456801237351,1.0,1.0,0.03675679723660963,0.002829708418391305,0.03392708881821832,-0.0853543874607135,0.009614192916218149,-0.09496858037693165
002519.csv,0.4278221862317729,-1.0,-0.36787944117144233,-0.0041434881973363424,0.0,0.0015243041225365607,-0.08383008333817694,0.009614192916218149,-0.0934442762543951
002519.csv,0.5785743698568302,1.0,0.7095648045077235,-0.0019058751646381378,0.0020184569574146784,-0.003370798896027264,-0.0872008822342042,0.009614192916218149,-0.09681507515042236
002519.csv,0.588923755885709,1.0,1.0,-0.04354968307123719,0.003130731371527143,-0.04668041444276433,-0.13388129667696852,0.009614192916218149,-0.14349548959318667
002519.csv,0.44847050570737806,-1.0,-0.36787944117144233,0.039613421008935834,0.0008915525720854621,-0.015464515755741851,-0.14934581243271036,0.009614192916218149,-0.1589600053489285
002519.csv,0.584813453245189,1.0,1.0,-0.006254666181145119,0.0008869230569612438,-0.007141589238106363,-0.15648740167081673,0.009614192916218149,-0.16610159458703488
002519.csv,0.57883137325096,1.0,1.0,0.010909775706946512,0.0017280783409517441,0.009181697365994768,-0.14730570430482195,0.009614192916218149,-0.1569198972210401
002519.csv,0.43485871403115833,-1.0,-0.36787944117144233,-0.025369286891353537,0.00048710318621591445,0.008845735898293221,-0.13845996840652874,0.009614192916218149,-0.1480741613227469
002519.csv,0.5512654340218843,1.0,1.0,0.0025075965735530392,0.0016036258029698304,0.0009039707705832088,-0.13755599763594553,0.009614192916218149,-0.14717019055216368
002519.csv,0.4406304312082874,-1.0,-0.36787944117144233,-0.0424461477743745,0.0007679663901001047,0.014847098733017245,-0.12270889890292828,0.009614192916218149,-0.13232309181914642
002519.csv,0.57164122885859,1.0,1.0,0.06912072546031633,0.0028077720678768444,0.06631295339243949,-0.05639594551048879,0.009614192916218149,-0.06601013842670694
002519.csv,0.5527993168764407,1.0,1.0,-0.004160935147564437,0.0015604786741972862,-0.005721413821761724,-0.062117359332250516,0.009614192916218149,-0.07173155224846867
002519.csv,0.5739444063586303,1.0,1.0,-0.0010466142296663428,0.001543613684621394,-0.0025902279142877367,-0.06470758724653826,0.009614192916218149,-0.07432178016275641
002519.csv,0.5644916933973451,1.0,0.7095648045077235,0.009593599162950106,0.0012165146762325874,0.0055907656383515645,-0.059116821608186695,0.009614192916218149,-0.06873101452440485
002519.csv,0.41876092978853635,-1.0,-0.36787944117144233,0.027312358992935826,0.00035984081700400964,-0.010407496180399059,-0.06952431778858575,0.009614192916218149,-0.0791385107048039
002519.csv,0.42730716570084576,-1.0,-0.36787944117144233,-0.0041774012249076176,0.00029183716017157655,0.0012449428679963364,-0.06827937492058941,0.009614192916218149,-0.07789356783680756
002519.csv,0.4472300973786379,-1.0,-0.44932896411722156,-0.028788514308997648,0.0003666964468526975,0.012568816866083026,-0.055710558054506386,0.009614192916218149,-0.06532475097072453
002519.csv,0.5617660818567628,1.0,0.36787944117144233,-0.03432415616753315,7.842806898301649e-05,-0.012705579458576427,-0.06841613751308281,0.009614192916218149,-0.07803033042930096
002519.csv,0.43275651688860206,-1.0,-0.36787944117144233,-0.01044336384775213,0.0005734688748755498,0.0032684299813855473,-0.06514770753169727,0.009614192916218149,-0.07476190044791542
002519.csv,0.43944347518954346,-1.0,-1.0,-0.009788932635378389,0.001536679717887716,0.008252252917490674,-0.05689545461420659,0.009614192916218149,-0.06650964753042474
002519.csv,0.4417362597939593,-1.0,-0.36787944117144233,0.0200613065050963,0.0003912979512313311,-0.007771440177495178,-0.06466689479170178,0.009614192916218149,-0.07428108770791993
002519.csv,0.4279721775376585,-1.0,-0.36787944117144233,-0.02407086113288104,0.0002205442387678803,0.008634630703311788,-0.05603226408838999,0.009614192916218149,-0.06564645700460814
002519.csv,0.4425635919705782,-1.0,-0.36787944117144233,-0.0675716271959459,0.0002830811518507724,0.024575131300038838,-0.03145713278835115,0.009614192916218149,-0.0410713257045693
002519.csv,0.43629175271103376,-1.0,-0.36787944117144233,0.01821955246103979,0.00022781488886667637,-0.006930413666627771,-0.03838754645497892,0.009614192916218149,-0.04800173937119707
002519.csv,0.4426343070016693,-1.0,-0.36787944117144233,-0.025118334684850474,0.0004991828984789636,0.008741336028541085,-0.029646210426437832,0.009614192916218149,-0.03926040334265598
002519.csv,0.4356458982139891,-1.0,-0.36787944117144233,0.016081953487511624,0.000745691549665689,-0.006661911611596594,-0.03630812203803443,0.009614192916218149,-0.04592231495425258
002519.csv,0.5544920495289222,1.0,0.8651714477432055,-0.03186200167834774,0.00230651166421413,-0.029872605784266686,-0.06618072782230111,0.009614192916218149,-0.07579492073851926
002519.csv,0.6054574239367576,1.0,1.0,-0.021670333966432587,0.00240699145358122,-0.024077325420013805,-0.09025805324231492,0.009614192916218149,-0.09987224615853307
002519.csv,0.8722845599228385,1.0,0.36787944117144233,0.041339153536048556,1.8218554526550096e-05,0.015189606146815447,-0.07506844709549948,0.009614192916218149,-0.08468264001171763
002519.csv,0.553826244693814,1.0,1.0,-0.01262064071470581,0.0020137141331314596,-0.014634354847837271,-0.08970280194333675,0.009614192916218149,-0.0993169948595549
